2026-07-09 22:17:38 | Config | LoadSettings | WARNING | 0.000s | Settings file not found. Creating default settings.
2026-07-09 22:17:38 | Config | SaveSettings | SUCCESS | 0.000s | Settings saved to C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\core\config\settings.json
2026-07-09 22:17:38 | Database | InitDB | SUCCESS | 0.000s | Database initialized at C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\storage\nova_studio.db
2026-07-09 22:17:38 | Plugins | LoadAll | INFO | 0.000s | Starting dynamic plugin discovery...
2026-07-09 22:17:39 | Plugins | LoadFile | SUCCESS | 0.000s | Loaded plugin 'ComfyUI Image' (image) from C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\core\plugins\plugin_comfyui.py
2026-07-09 22:17:39 | Plugins | LoadFile | SUCCESS | 0.000s | Loaded plugin 'ComfyUI Video' (video) from C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\core\plugins\plugin_comfyui.py
2026-07-09 22:17:39 | Plugins | LoadFile | SUCCESS | 0.000s | Loaded plugin 'Kokoro' (tts) from C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\core\plugins\plugin_kokoro.py
2026-07-09 22:17:39 | Plugins | LoadFile | SUCCESS | 0.000s | Loaded plugin 'MusicGen' (music) from C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\core\plugins\plugin_musicgen.py
2026-07-09 22:17:39 | Plugins | LoadFile | SUCCESS | 0.000s | Loaded plugin 'Ollama' (llm) from C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\core\plugins\plugin_ollama.py
2026-07-09 22:17:39 | Projects | Create | SUCCESS | 0.000s | Created project Test Unit Project with ID: e19a9b3d_test_unit_project
2026-07-09 22:17:39 | Projects | Load | SUCCESS | 0.000s | Loaded project: Test Unit Project
2026-07-09 22:17:39 | Projects | Delete | SUCCESS | 0.000s | Deleted project e19a9b3d_test_unit_project
2026-07-09 22:27:48 | Config | LoadSettings | SUCCESS | 0.000s | Settings loaded from C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\core\config\settings.json
2026-07-09 22:27:48 | Database | InitDB | SUCCESS | 0.000s | Database initialized at C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\storage\nova_studio.db
2026-07-09 22:27:48 | Plugins | LoadAll | INFO | 0.000s | Starting dynamic plugin discovery...
2026-07-09 22:27:48 | Plugins | LoadFile | SUCCESS | 0.000s | Loaded plugin 'ComfyUI Image' (image) from C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\core\plugins\plugin_comfyui.py
2026-07-09 22:27:48 | Plugins | LoadFile | SUCCESS | 0.000s | Loaded plugin 'ComfyUI Video' (video) from C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\core\plugins\plugin_comfyui.py
2026-07-09 22:27:48 | Plugins | LoadFile | SUCCESS | 0.000s | Loaded plugin 'Kokoro' (tts) from C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\core\plugins\plugin_kokoro.py
2026-07-09 22:27:48 | Plugins | LoadFile | SUCCESS | 0.000s | Loaded plugin 'MusicGen' (music) from C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\core\plugins\plugin_musicgen.py
2026-07-09 22:27:48 | Plugins | LoadFile | SUCCESS | 0.000s | Loaded plugin 'Ollama' (llm) from C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\core\plugins\plugin_ollama.py
2026-07-09 22:32:42 | Config | LoadSettings | SUCCESS | 0.000s | Settings loaded from C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\core\config\settings.json
2026-07-09 22:32:42 | Database | InitDB | SUCCESS | 0.000s | Database initialized at C:\Users\ujwal\.gemini\antigravity\scratch\nova-studio\storage\nova_studio.db
2026-07-09 22:32:42 | Plugins | LoadAll | INFO | 0.000s | Starting dynamic plugin discovery...
